family,tag,stage,reason_code,rationale
llama2-chinese,,manual_exclusion,specialised_model_excluded,Regional-language-specialised
yi,,manual_exclusion,specialised_model_excluded,Bilingual-specialised
zephyr,,manual_exclusion,derivative_legacy_family_excluded,Derivative with no clear distinct methodological advantage for this benchmark
glm4,,manual_exclusion,specialised_model_excluded,Multilingual-specialised
aya,,manual_exclusion,specialised_model_excluded,Multilingual-specialised
aya-expanse,,manual_exclusion,specialised_model_excluded,Multilingual-specialised
sailor2,,manual_exclusion,specialised_model_excluded,Regional-language-specialised
stablelm2,,manual_exclusion,specialised_model_excluded,Multilingual-specialised
stable-beluga,,manual_exclusion,derivative_legacy_family_excluded,Derivative with no clear distinct methodological advantage for this benchmark
bakllava,,manual_exclusion,specialised_model_excluded,Vision-language-specialised
llama-pro,llama-pro:8b-text-fp16,manual_exclusion,instruct_variant_preferred,Instruct variant preferred when paired text variant exists
llama-pro,llama-pro:8b-text-q2_K,manual_exclusion,instruct_variant_preferred,Instruct variant preferred when paired text variant exists
llama-pro,llama-pro:8b-text-q3_K_L,manual_exclusion,instruct_variant_preferred,Instruct variant preferred when paired text variant exists
llama-pro,llama-pro:8b-text-q3_K_M,manual_exclusion,instruct_variant_preferred,Instruct variant preferred when paired text variant exists
llama-pro,llama-pro:8b-text-q3_K_S,manual_exclusion,instruct_variant_preferred,Instruct variant preferred when paired text variant exists
llama-pro,llama-pro:8b-text-q4_0,manual_exclusion,instruct_variant_preferred,Instruct variant preferred when paired text variant exists
llama-pro,llama-pro:8b-text-q4_1,manual_exclusion,instruct_variant_preferred,Instruct variant preferred when paired text variant exists
llama-pro,llama-pro:8b-text-q4_K_M,manual_exclusion,instruct_variant_preferred,Instruct variant preferred when paired text variant exists
llama-pro,llama-pro:8b-text-q4_K_S,manual_exclusion,instruct_variant_preferred,Instruct variant preferred when paired text variant exists
llama-pro,llama-pro:8b-text-q5_0,manual_exclusion,instruct_variant_preferred,Instruct variant preferred when paired text variant exists
llama-pro,llama-pro:8b-text-q5_1,manual_exclusion,instruct_variant_preferred,Instruct variant preferred when paired text variant exists
llama-pro,llama-pro:8b-text-q5_K_M,manual_exclusion,instruct_variant_preferred,Instruct variant preferred when paired text variant exists
llama-pro,llama-pro:8b-text-q5_K_S,manual_exclusion,instruct_variant_preferred,Instruct variant preferred when paired text variant exists
llama-pro,llama-pro:8b-text-q6_K,manual_exclusion,instruct_variant_preferred,Instruct variant preferred when paired text variant exists
llama-pro,llama-pro:8b-text-q8_0,manual_exclusion,instruct_variant_preferred,Instruct variant preferred when paired text variant exists
qwen3.6,qwen3.6:27b-coding-bf16,manual_exclusion,specialised_model_excluded,Coding-specialised
qwen3.6,qwen3.6:27b-coding-mxfp8,manual_exclusion,specialised_model_excluded,Coding-specialised
qwen3.6,qwen3.6:27b-coding-nvfp4,manual_exclusion,specialised_model_excluded,Coding-specialised
qwen3.6,qwen3.6:35b-a3b-coding-bf16,manual_exclusion,specialised_model_excluded,Coding-specialised
qwen3.6,qwen3.6:35b-a3b-coding-mxfp8,manual_exclusion,specialised_model_excluded,Coding-specialised
qwen3.6,qwen3.6:35b-a3b-coding-nvfp4,manual_exclusion,specialised_model_excluded,Coding-specialised
exaone-deep,,manual_exclusion,specialised_model_excluded,Coding/maths-specialised
exaone3.5,,manual_exclusion,specialised_model_excluded,Multilingual-specialised
