group_id,group_label,group_description,issue_count,report_count,first_date,last_date,median_centroid_similarity,sample_issues
22,Emollient fire risk awareness,Insufficient knowledge regarding the fire hazards associated with paraffin-based emollient creams among professionals and the public.,8,7,2015-08-11,2025-08-12,0.9459057450294495,Healthcare professionals in hospital and community settings may lack awareness of the fire risks posed by low-paraffin emollient creams. | There is a lack of awareness regarding the fire risk posed by petrol-based emollient creams. | Care homes may lack awareness of the fire risks associated with low-paraffin emollient creams.
23,Unauthorised distribution of vendor contact details,Vendor contact information is being shared on platforms that promote suicide methods without their knowledge.,8,8,2025-05-23,2025-05-23,0.9973233938217163,Vendors are unaware that their contact details are being distributed by platforms designed to promote suicide methods. | Vendors are unaware that their contact details are being distributed by platforms promoting suicide methods. | Vendors are unaware that their contact details are being distributed on platforms designed to promote suicide methods.
24,Inadequate visibility at junctions and crossings,Obstructions or environmental factors prevent clear sightlines for drivers and pedestrians.,8,8,2015-02-02,2024-10-25,0.9349081516265869,Visibility at the junction is inadequate. | Visibility at the junction is limited. | Visibility at the crossing point is inadequate.
25,Inadequate suicide and self-harm assessment,"Failures in assessing, documenting, and communicating risks related to self-harm and suicidal ideation.",8,8,2014-05-09,2023-06-07,0.9160513877868652,Clinicians failed to adequately assess suicide risk despite being informed of a recent self-harm attempt. | Clinical staff failed to document suicidal ideation and self-harm risks appropriately. | Psychiatric staff failed to properly assess the risk of self-harm.
26,Inadequate risk assessment training,Staff members lack the necessary training and familiarity to conduct formal risk assessments and care planning.,7,7,2014-04-15,2026-02-19,0.9346579909324646,Staff members had not undergone training in risk assessment. | Staff lacked formal training in risk assessment. | Care home staff had not received training in conducting risk assessments.
27,Inadequate ACCT training and awareness,Prison staff lack sufficient knowledge and formal training regarding their responsibilities within the ACCT process.,7,7,2017-03-28,2026-02-19,0.9364044666290283,Prison officers lacked sufficient understanding of the ACCT process following training. | Prison officers lacked sufficient training regarding their obligations and responsibilities under the ACCT procedure. | Prison officers lacked evidence of mandatory ACCT training or awareness of their responsibilities.
28,Ambulance resource capacity deficit,Demand for ambulance services is exceeding available resources and capacity.,7,7,2018-02-27,2026-01-14,0.9636036157608032,Ambulance demand significantly exceeds available resources. | Demand for the ambulance service significantly exceeds available resources. | Demand for ambulance services was outstripping available resources.
29,Inadequate falls risk assessments,Failure to conduct or implement formal assessments to identify and manage the risk of falls.,7,7,2014-09-12,2025-05-26,0.9356526732444763,Appropriate falls risk assessments were not undertaken. | A risk assessment to identify the risk of falls was not conducted. | Falls risk assessments and care plans were not undertaken.
30,Inadequate online poison seller training,Guidance lacks specific instructions for sellers acquiring reportable poisons through online marketplaces.,7,7,2025-05-23,2025-05-23,0.9917217493057251,Published guidance fails to provide specific training for sellers of reportable poisons acquired via online marketplaces. | Published guidance fails to provide specific training or instructions for sellers of reportable poisons acquired via online marketplaces. | Published guidance fails to provide specific training or instructions to sellers regarding the acquisition of reportable poisons via online marketplaces.
31,Inadequate self-harm prevention guidance,Home Office instructions prioritise malicious misuse over deliberate self-harm or suicide risks.,7,7,2025-05-23,2025-05-23,0.9993345737457275,Home Office guidance focuses on malicious misuse rather than deliberate misuse for suicide or self-harm. | Home Office guidance focuses on malicious misuse rather than deliberate misuse for self-harm. | Home Office guidance focuses on malicious misuse rather than the deliberate misuse of substances for suicide.
32,Instructions for lethal poisoning,Websites providing guidance on sourcing and administering poisonous substances or medications.,7,7,2025-05-23,2025-05-23,0.9601665735244751,Publicly accessible websites provide instructions on sourcing and administering lethal poisons and medications. | Publicly accessible websites provide instructions on sourcing poisons and preparing them for administration to cause death. | Online platforms provide accessible information on sourcing lethal poisons and preparing them for administration.
33,Delays in medical intervention,"Failures in timely clinical assessment, treatment, or emergency response.",7,7,2015-03-20,2023-12-15,0.9285119771957397,Delays in medical intervention contributed to the death. | Ambulance response delays contributed to the death. | The ambulance response delay contributed to the death.
34,Incomplete clinical documentation,There are significant gaps and omissions within patient medical records and clinical notes.,6,6,2013-10-14,2025-07-07,0.9325743913650513,There were significant gaps in clinical documentation and record keeping. | There were significant gaps in the medical records. | There were significant gaps in the clinical record keeping during the assessment process.
35,Misidentification of self-harm risk,Small purchases of reportable poisons are incorrectly categorised as legitimate hobbyist use instead of potential self-harm.,6,6,2025-05-23,2025-05-23,0.9830406904220581,Small quantity purchases of reportable poisons are incorrectly evaluated as legitimate hobbyist use rather than potential self-harm. | Small quantity purchases of reportable poisons are incorrectly presumed to be for legitimate uses rather than self-harm. | Small purchases of reportable poisons are incorrectly evaluated as legitimate hobbyist use rather than potential self-harm.
36,Clinical handover communication failures,Inadequate exchange of information and responsibilities during staff shift changes.,6,6,2013-12-13,2024-07-02,0.9392227530479431,Communication failures occurred during clinical handovers. | There were failures in patient handover and communication between clinical shifts. | Verbal communication during clinical handovers was poor.
37,Radiology staffing shortages,A lack of qualified radiologists and radiographers is causing delays in diagnostic imaging and reporting.,6,6,2016-11-11,2024-05-29,0.9532737731933594,A national shortage of radiologists is causing delays in reporting radiology. | A shortage of radiologists and trained radiographers causes delays in reporting X-rays. | A shortage of radiology staff contributed to delays in diagnostic investigations.
38,Failure to notify families of discharge,Hospital staff failed to inform relevant family members or stakeholders when a patient was discharged.,6,6,2013-09-24,2024-05-02,0.9360172748565674,The hospital failed to inform the family of the patient's discharge. | The patient's family were not notified of his discharge from hospital. | The hospital failed to notify the family of the patient's discharge despite previous contact during their hospitalisation.
39,Lack of family involvement in discharge,Patients and their families were not consulted or informed during the discharge process.,6,6,2013-01-30,2023-06-07,0.9310863018035889,The family was not engaged or consulted during the patient's discharge process. | Family members were not involved in the discharge process. | The decision to discharge the patient was made without notifying or consulting any family members.
40,Failure to perform CT scans,CT scans were not administered following patient falls and head injuries.,6,6,2013-12-16,2019-03-29,0.9540773630142212,A CT scan was not performed following a patient fall and head injury. | A head CT scan was not performed following a patient's initial fall. | A CT scan was not performed following a head injury sustained during an unwitnessed fall.
41,Inadequate mental health monitoring,Failures in assessing and communicating prisoner mental health information between healthcare and prison staff.,5,4,2021-02-10,2026-02-09,0.9551103115081787,Healthcare staff failed to conduct an adequate medical assessment of the prisoner. | Healthcare staff failed to provide sufficient information about the prisoner's mental health to prison staff. | Healthcare staff failed to assess the prisoner adequately during a suspected psychotic episode.
42,Incompatible healthcare IT systems,Disparate digital platforms prevent the efficient sharing of vital patient information between organisations.,5,5,2022-08-17,2025-07-08,0.9690921306610107,Incompatible IT systems between hospitals hinder effective communication and information sharing between clinicians. | Incompatible IT systems prevent the effective sharing of vital patient information between community and hospital clinicians. | Incompatible IT systems between institutions prevent the sharing of vital clinical information.
43,Failure to conduct internal investigations,The care provider failed to carry out formal reviews following serious incidents or allegations.,5,5,2015-10-15,2025-01-02,0.959758996963501,The nursing home failed to conduct an internal investigation into the circumstances of the death. | The care home failed to conduct an internal investigation into the death or identify systemic failures. | The nursing home failed to conduct an internal investigation into the care provided.
44,Inadequate clinical handover communication,Essential clinical information and required reviews are not being effectively relayed during staff handovers.,5,5,2014-06-09,2024-08-07,0.9369558095932007,Critical clinical information was not communicated during staff handovers. | Risk-pertinent information was not communicated during staff handovers. | There is a risk that significant clinical information is not relayed during staff handovers.
45,Inadequate hazard warning signage,There is insufficient notification to motorists and pedestrians regarding potential obstructions or crossing movements.,5,4,2016-07-01,2024-07-24,0.9551100134849548,There is insufficient warning for drivers regarding the prospect of pedestrians crossing the road. | There is a lack of warning to motorists regarding pedestrians or cyclists crossing the carriageway. | There is a lack of adequate warning for motorists regarding the presence of pedestrians on the roadside.
46,Delayed implementation of improvements,Failure to complete action plans and procedures within agreed timescales.,5,5,2018-05-17,2024-07-18,0.9410092830657959,The health board failed to act in a timely manner to implement identified improvements. | The Health Board has failed to implement the investigation action plan in a timely manner. | The Health Board failed to complete investigations in a timely manner.
47,Falsification of patient observation records,Staff intentionally recorded inaccurate information regarding patient monitoring and checks.,5,5,2016-09-05,2024-07-10,0.9545119404792786,Staff deliberately falsified patient observation records to indicate checks had been completed when they had not. | Staff falsified records regarding patient observations. | Staff falsified records to show observations had been completed.
48,Inadequate clinical monitoring and assessment,Failure to perform frequent observations or accurately assess patient condition and capacity.,5,5,2020-04-22,2023-06-29,0.9435460567474365,The patient was not monitored with sufficient frequency given his clinical condition. | The patient's medical condition was not reviewed with sufficient frequency. | The patient's underlying medical condition was not fully understood.
49,Fragmented electronic patient records,Inconsistent access to complete digital health information hinders safe clinical decision-making.,5,4,2014-02-19,2023-06-08,0.9368391036987305,Clinical staff lack access to important information held in different electronic patient records. | The lack of access to complete electronic records prevents staff from making fully informed clinical decisions. | Junior staff lack easy access to essential patient information on electronic records.
50,Delays in diagnostic result management,"Failures in the timely review, reporting, and actioning of diagnostic test results.",5,5,2014-02-05,2022-10-17,0.9264526963233948,Blood test results were not reviewed in a timely manner. | Delays occurred in responding to abnormal blood test results. | Blood test results were not appropriately reported or acted upon.
51,Non-compliance with neurological observations,Neurological observations were not performed or recorded according to established policies and guidance.,5,5,2015-01-29,2022-08-22,0.9395362138748169,Neurological observations were not conducted in accordance with Trust policy. | Neurological observations were not carried out in accordance with local and national guidance. | Neurological observations were not instituted as required.
52,Incorrect Call Triage and Grading,"Errors in the initial assessment, grading, or prioritisation of emergency calls.",5,5,2013-12-16,2022-06-08,0.9371800422668457,The initial triage of the emergency call was incorrect. | The emergency call was graded incorrectly. | The call handler used an incorrect triage algorithm during the emergency call.
53,Unclear clinical observation and documentation protocols,Staff lack precise guidance regarding patient observation procedures and the necessity of documenting clinical actions.,5,5,2015-02-02,2022-06-08,0.934450626373291,Staff lacked clarity regarding the requirements for conducting patient observations. | Staff lack clarity regarding the requirements and procedures for conducting patient observations. | Staff lacked clarity on whether they were required to physically enter patient rooms to conduct observations.
54,Fragmented electronic health records,Incompatible patient record systems prevent the seamless sharing of clinical information.,5,5,2015-10-07,2022-04-25,0.9226664304733276,"Disparate clinical record systems prevented healthcare providers from accessing crucial patient information. | Relevant medical information was contained in disparate record silos, hindering clinician access. | Patient data was not accessible between different electronic record systems."
55,Inadequate neurological observations,Failure to perform or continue required neurological monitoring following incidents or prior to discharge.,5,5,2014-08-06,2021-07-15,0.9470961093902588,Neurological observations were not conducted following the patient's fall. | Neurological observations were not performed following a fall and a facial injury. | Required neurological observations were not performed prior to the patient's discharge.
56,Mental health service underfunding,Insufficient funding for mental health services increases the risk of patient fatalities.,5,5,2018-10-03,2018-10-04,0.9547536373138428,Under-funding of mental health services poses a risk of future deaths. | Under-funding of mental health services increases the risk of future deaths. | Chronic underfunding of mental health services is creating a risk to life.
57,Inadequate ACCT training,Healthcare and agency staff lack sufficient knowledge of the ACCT process and obligations.,4,4,2017-06-07,2026-02-19,0.9624446630477905,Agency healthcare staff lacked adequate training regarding ACCT obligations. | Healthcare and mental healthcare staff lacked sufficient training on the ACCT process. | Agency healthcare staff lack sufficient training in the ACCT process.
58,Failure to use sepsis screening tool,The standardised sepsis screening tool was not utilised during patient assessments.,4,4,2019-11-18,2026-02-13,0.9687719941139221,The hospital trust's Sepsis Screening Tool was not used during the patient's assessment. | The sepsis screening tool was not used during the assessment in the A&E department. | The Sepsis Tool was not utilised during the assessment.
59,Inadequate training for behavioural disturbance,Staff lack the necessary training to recognise and identify acute behavioural disturbance.,4,4,2019-07-16,2026-02-09,0.9868502020835876,Prison and healthcare staff lacked training to recognise the signs of Acute Behavioural Disturbance. | Prison staff and healthcare staff lacked training in identifying Acute Behavioural Disturbance. | Probation hostel staff lacked awareness and training regarding acute behavioural disturbance.
60,Pressure sore prevention training,Staff lack necessary training and knowledge regarding the prevention and assessment of pressure sores.,4,3,2015-07-10,2025-11-26,0.9536781907081604,Care staff lacked training in the examination and care of pressure sores. | Clinical staff had not received adequate training on pressure sore formation and prevention. | Staff lacked sufficient knowledge regarding the prevention of pressure sores.
61,Inaccurate falls risk documentation,Records regarding falls risk assessments and management are incomplete or incorrect.,4,4,2017-07-18,2025-11-14,0.9529962539672852,Documentation relating to falls risk was inaccurate. | Falls risk assessment documentation was not completed correctly. | Falls risk assessment documentation was incomplete and not updated following falls.
62,Delayed admission risk assessments,Risk assessments were not completed within the required timeframe following patient admission.,4,4,2013-07-30,2025-08-28,0.9434762001037598,A risk assessment was not completed within 24 hours of the patient's admission. | A risk assessment was not conducted within 24 hours of admission to the nursing home. | The falls risk assessment was not completed within the expected 24 hours of admission.
63,Failure to recognise cardiac arrest,Staff failed to identify signs of respiratory distress or cardiac arrest.,4,4,2021-05-28,2025-08-26,0.9619086384773254,Staff failed to recognise the patient was in respiratory distress or cardiac arrest. | Staff failed to recognise the occurrence of a cardiac arrest. | Staff failed to recognise that the patient had stopped breathing.
64,Failure to implement action plans,The Trust failed to execute or monitor agreed improvements and identified actions.,4,4,2016-03-18,2025-06-23,0.9548382759094238,The Trust failed to implement or approve essential actions within its own identified action plan. | The Trust's governance procedure failed to ensure the completion of identified action plans. | The Trust failed to demonstrate effective implementation of the agreed action plan.
65,Emergency department overcrowding,Excessive patient volume in emergency departments is linked to increased mortality rates.,4,4,2020-02-27,2025-05-12,0.9610425233840942,Emergency department crowding leads to increased mortality risks for patients held in corridors or ambulances. | Emergency department overcrowding leads to increased mortality risks for patients held in corridors or ambulances. | Emergency department crowding is associated with increased mortality amongst admitted patients.
66,Mental health bed shortages,Insufficient inpatient capacity causes prolonged waiting times in emergency departments.,4,4,2021-05-21,2025-02-05,0.9798567295074463,A shortage of inpatient mental health beds leads to unacceptable waiting times in A&E. | A lack of inpatient beds leads to unacceptable waiting times in A&E for patients in mental health crisis. | A lack of inpatient beds causes unacceptable waiting times in A&E for patients requiring psychiatric care.
67,Inter-agency communication failures,"Ineffective information exchange between healthcare staff, dispatchers, and emergency services.",4,4,2014-05-08,2025-01-22,0.9442383646965027,"Communication between healthcare personnel, the prison control room, and ambulance control requires improvement. | Communication between the control room and ambulance personnel requires improvement. | Communication between the HEMS dispatcher and paramedics on scene requires improvement."
68,Interoperability of electronic health records,Incompatible IT systems prevent clinicians from accessing vital patient information across different organisations.,4,4,2019-12-24,2024-11-25,0.9529173374176025,Incompatibility between different NHS trust computer systems prevents access to patient notes. | Incompatible electronic systems across different NHS providers prevent access to essential patient records. | Incompatible IT systems prevented clinicians from accessing vital patient records across different trusts.
69,Failure to implement falls prevention plans,Established protocols and interventions designed to prevent falls were not followed or put into practice.,4,4,2016-11-07,2024-10-28,0.9423346519470215,A falls prevention plan was not implemented. | The established care plan to reduce the risk of falls was not followed. | A clear care plan was not implemented following the initial falls.
70,Failure to follow up,Mental health teams failed to maintain contact or respond to patient enquiries.,4,4,2018-09-18,2024-09-27,0.9525246024131775,The Mental Health Team failed to follow up on a referral after being unable to contact the patient. | Community mental health teams failed to follow up with the patient. | Mental health services failed to maintain contact with the patient.
71,Inadequate road signage and markings,Road signs and markings are poorly maintained or insufficient.,4,3,2014-10-09,2024-07-29,0.952271580696106,Road signage was insufficient. | There is a failure to exhibit appropriate road signage. | Road markings were inadequate.
72,Excessive psychotherapy waiting times,Patients are experiencing prolonged delays in accessing psychological assessments and treatments.,4,4,2014-11-11,2024-06-25,0.9562132954597473,The waiting list for psychotherapy assessment and treatment is excessively long. | Patients face excessively long waiting lists for psychological therapies. | Waiting times for access to psychological therapy are significantly long.
73,Failure to arrange follow-up appointments,Follow-up appointments were not organised prior to patient discharge.,4,4,2013-01-30,2024-06-10,0.9484370946884155,No follow-up appointments were arranged at the time of discharge. | No follow-up outpatient appointment with a psychiatrist was arranged following discharge. | No follow-up appointment was booked prior to the patient's discharge.
74,Mental health service delays,Significant waiting times for accessing mental health support services.,4,4,2019-02-26,2024-03-14,0.9472908973693848,There were excessive delays for students to access mental health support services. | Long waiting times for student mental health services exist. | Long waiting lists for mental health services prevent timely access to support.
75,Inadequate clinical record keeping,"Failures in the maintenance, accuracy, and retention of patient documentation and management records.",4,4,2016-09-02,2023-10-27,0.941938579082489,The Trust failed to maintain adequate clinical records regarding patient management decisions. | The Trust failed to maintain complete patient observation records. | The Trust failed to ensure nursing records accurately reflected the care provided to the patient.
76,Inadequate discharge and care planning,Failures in creating and implementing appropriate care and discharge arrangements.,4,4,2013-11-14,2022-09-12,0.9368512034416199,The deceased was discharged with an inadequate discharge plan. | The care plan for the deceased was unsatisfactory. | The deceased was medically unfit for discharge.
77,Inadequate cardiopulmonary resuscitation,Staff failed to perform or initiate effective resuscitation procedures during emergencies.,4,4,2014-07-30,2022-05-11,0.9564284682273865,Staff provided ineffective cardiopulmonary resuscitation during the emergency. | Staff resuscitation attempts were inadequate. | Staff lacked the necessary competence to perform CPR during a medical emergency.
78,Failure to review medical records,Clinical staff did not adequately check patient histories or triage documentation during assessments.,4,4,2015-04-29,2022-02-15,0.9454498291015625,Staff failed to thoroughly review available medical records during patient assessments. | Clinical staff failed to review triage records before conducting patient assessments. | CRT staff failed to effectively review medical records prior to assessment.
79,Falls prevention management failures,"Inconsistent application of risk assessments, control measures, and staff supervision regarding falls.",4,4,2014-09-03,2021-07-26,0.9504902958869934,Control measures for managing falls risks were not implemented consistently. | Preventable falls prevention measures were not implemented promptly. | Staff supervision and discussion regarding falls prevention were not implemented promptly.
80,Insufficient staffing for one-to-one care,Staffing levels were inadequate to facilitate the delivery of required one-to-one nursing supervision.,4,4,2013-07-30,2021-06-16,0.9442803859710693,Staffing levels were insufficient to provide the required one-to-one nursing care. | Staffing levels were insufficient to allow nurses to provide one-to-one care alongside mainstream duties. | Requested one-to-one nursing care was not provided due to insufficient staffing levels.
81,Inappropriate ward placement,Patients were assigned to wards that did not meet their clinical requirements.,4,4,2013-09-23,2020-05-04,0.9544740319252014,The patient was placed on an inappropriate ward. | The patient was placed on wards unsuitable for his clinical needs. | The patient was not treated in the appropriate ward or department.
82,Inadequate documentation submission,Failure to submit paper forms prevents the identification of inspection and oversight failures.,4,2,2019-09-25,2019-09-25,0.9738262295722961,The failure to submit paper forms prevented engineers from identifying and challenging inspection failures. | The failure to submit paper forms prevented internal auditors from identifying inspection and oversight failures.
83,Firearms licensing procedural errors,Failures in evidence consideration and application of the correct standard of proof during certificate reviews.,4,2,2019-07-15,2019-07-15,0.9605550765991211,The Firearms Licensing Department failed to consider all available evidence before deciding to return the shotgun certificate. | The Firearms Licensing Department failed to apply the correct standard of proof when deciding to return the shotgun certificate. | The Firearms Licensing Department failed to consider all available evidence before deciding to return the shotgun certificate and shotguns.
84,Insufficient street lighting,The road lacks adequate illumination during hours of darkness.,4,4,2014-03-24,2019-04-26,0.9726536273956299,The road lacks street lighting. | The road lacks illumination at night. | The road is unlit during hours of darkness.
85,Road signage and markings,"Improvements are required for junction signs, carriageway markings, and hazard warnings.",4,4,2014-02-03,2019-04-17,0.9557372331619263,Road signs and carriageway markings at the junction require review and improvement. | Signage at and before the junction requires improvement. | The signage at the junction requires improvement to indicate the presence of a side road.
86,Mental health service strain,Pressure on mental health services increases the risk of fatalities.,4,4,2018-10-04,2018-10-04,0.9798107147216797,Systemic strain on mental health services poses a risk of future deaths. | Systemic strain on mental health services increases the risk of future deaths. | Systemic strain within mental health services increases the risk of future fatalities.
87,Inadequate bend warning signage,The road lacks sufficient advance warning signs for approaching bends.,4,4,2016-04-19,2016-04-19,0.9965568780899048,The A470 lacks an advanced warning sign for the approaching left-hand bend. | The A470 lacks advanced warning signage for a challenging left-hand bend.
88,Mental health bed shortages,Insufficient availability of psychiatric beds creates a continuous risk to life.,3,3,2024-03-07,2026-03-12,0.9699167013168335,The lack of available mental health beds poses a risk of future deaths. | The lack of available mental health beds presents a continuing local and national risk of future deaths. | The shortage of mental health beds poses an ongoing risk to life.
89,Inadequate falls risk management,Failure to perform assessments or provide timely medical reviews following a fall.,3,3,2017-03-16,2026-02-26,0.9771053194999695,Nursing staff failed to complete appropriate falls risk assessments. | Nursing staff failed to instigate an adequate falls risk assessment. | Nursing staff failed to secure prompt medical assessment following a fall.
90,Contraband smuggling prevention failure,Staff failed to stop illegal substances from entering the prison.,3,3,2026-02-09,2026-02-09,1.0000001192092896,Prison staff failed to prevent the smuggling of cocaine into the prison.
91,Failure to report medical emergencies,Staff failed to declare an emergency despite visible symptoms of psychosis.,3,3,2026-02-09,2026-02-09,1.0000001192092896,The nurse on duty failed to declare a medical emergency despite signs of psychosis.
92,Inadequate access to premises,Medical response was delayed due to a lack of keys for locked gates.,3,3,2026-02-09,2026-02-09,0.999007523059845,A delay in medical response occurred because the nurse lacked a key to locked gates. | Delayed medical response occurred because the nurse lacked a key to access locked gates.
93,Incorrect CPR techniques,Healthcare staff failed to follow correct procedures during resuscitation.,3,3,2025-10-13,2026-02-09,0.9893897771835327,"Healthcare staff made basic errors when performing CPR, including incorrect airway management. | Healthcare staff utilised incorrect CPR techniques."
94,Ambulance handover delays,Patients are experiencing prolonged waiting times in ambulances before being admitted to the hospital.,3,3,2014-01-21,2026-02-07,0.9855135083198547,Patients are kept waiting in ambulances for long periods. | Patients are kept waiting for long periods in ambulances. | High demand on the emergency department causes patients to remain in ambulances for extended periods.
95,Pressure sore care non-compliance,Failure to adhere to established wound management and pressure ulcer prevention protocols.,3,3,2015-07-14,2026-01-15,0.9467989802360535,"The management plan for pressure sores was not adequately followed. | The care plan was not followed, leading to the deterioration of pressure sores. | The wound management and care plan was not followed consistently."
96,Duty of Candour Non-compliance,Failure to meet statutory obligations regarding transparency and openness following investigations.,3,3,2018-02-14,2025-12-15,0.954475462436676,The Trust failed to comply with the statutory duty of candour regarding the investigation findings. | The trust failed to conduct an internal investigation or fulfil its duty of candour. | The Trust failed to comply with statutory duties under Regulation 20 regarding the Duty of Candour.
