family,tag,tag_url,row_text,size_gb,modality,is_cloud_tag,updated_relative,family_card_text,family_url,params_total_b_raw,quantisation,updated_date_approx,is_moe,params_active_b,params_total_b,exclusion_reasons,manual_rationale,eligible
qwen2.5,qwen2.5:32b,https://ollama.com/library/qwen2.5%3A32b,qwen2.5:32b 20GB · 32K context window · Text · 1 year ago,20.0,Text,False,1 year ago,"qwen2.5 Qwen2.5 models are pretrained on Alibaba's latest large-scale dataset, encompassing up to 18 trillion tokens. The model supports up to 128K tokens and has multilingual support. tools 0.5b 1.5b 3b 7b 14b 32b 72b 29M Pulls 133 Tags Updated 1 year ago",https://ollama.com/library/qwen2.5,32.0,,2025-05-02,False,,32.0,,,True
qwen2.5,qwen2.5:72b,https://ollama.com/library/qwen2.5%3A72b,qwen2.5:72b 47GB · 32K context window · Text · 1 year ago,47.0,Text,False,1 year ago,"qwen2.5 Qwen2.5 models are pretrained on Alibaba's latest large-scale dataset, encompassing up to 18 trillion tokens. The model supports up to 128K tokens and has multilingual support. tools 0.5b 1.5b 3b 7b 14b 32b 72b 29M Pulls 133 Tags Updated 1 year ago",https://ollama.com/library/qwen2.5,72.0,,2025-05-02,False,,72.0,,,True
qwen2.5,qwen2.5:7b,https://ollama.com/library/qwen2.5%3A7b,qwen2.5:7b latest 4.7GB · 32K context window · Text · 1 year ago,4.7,Text,False,1 year ago,"qwen2.5 Qwen2.5 models are pretrained on Alibaba's latest large-scale dataset, encompassing up to 18 trillion tokens. The model supports up to 128K tokens and has multilingual support. tools 0.5b 1.5b 3b 7b 14b 32b 72b 29M Pulls 133 Tags Updated 1 year ago",https://ollama.com/library/qwen2.5,7.0,,2025-05-02,False,,7.0,,,True
mistral,mistral:7b,https://ollama.com/library/mistral%3A7b,mistral:7b latest 4.4GB · 32K context window · Text · 9 months ago,4.4,Text,False,9 months ago,"mistral The 7B model released by Mistral AI, updated to version 0.3. tools 7b 28.9M Pulls 84 Tags Updated 9 months ago",https://ollama.com/library/mistral,7.0,,2025-08-05,False,,7.0,,,True
qwen3,qwen3:14b,https://ollama.com/library/qwen3%3A14b,qwen3:14b 9.3GB · 40K context window · Text · 11 months ago,9.3,Text,False,11 months ago,"qwen3 Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models. tools thinking 0.6b 1.7b 4b 8b 14b 30b 32b 235b 28.2M Pulls 58 Tags Updated 6 months ago",https://ollama.com/library/qwen3,14.0,,2025-06-06,False,,14.0,,,True
qwen3,qwen3:30b,https://ollama.com/library/qwen3%3A30b,qwen3:30b 19GB · 256K context window · Text · 6 months ago,19.0,Text,False,6 months ago,"qwen3 Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models. tools thinking 0.6b 1.7b 4b 8b 14b 30b 32b 235b 28.2M Pulls 58 Tags Updated 6 months ago",https://ollama.com/library/qwen3,30.0,,2025-11-03,False,,30.0,,,True
qwen3,qwen3:32b,https://ollama.com/library/qwen3%3A32b,qwen3:32b 20GB · 40K context window · Text · 11 months ago,20.0,Text,False,11 months ago,"qwen3 Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models. tools thinking 0.6b 1.7b 4b 8b 14b 30b 32b 235b 28.2M Pulls 58 Tags Updated 6 months ago",https://ollama.com/library/qwen3,32.0,,2025-06-06,False,,32.0,,,True
qwen3,qwen3:8b,https://ollama.com/library/qwen3%3A8b,qwen3:8b latest 5.2GB · 40K context window · Text · 11 months ago,5.2,Text,False,11 months ago,"qwen3 Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models. tools thinking 0.6b 1.7b 4b 8b 14b 30b 32b 235b 28.2M Pulls 58 Tags Updated 6 months ago",https://ollama.com/library/qwen3,8.0,,2025-06-06,False,,8.0,,,True
llama3,llama3:70b,https://ollama.com/library/llama3%3A70b,llama3:70b 40GB · 8K context window · Text · 1 year ago,40.0,Text,False,1 year ago,llama3 Meta Llama 3: The most capable openly available LLM to date 8b 70b 23.6M Pulls 68 Tags Updated 1 year ago,https://ollama.com/library/llama3,70.0,Q4_0,2025-05-02,False,,70.0,,,True
llama3,llama3:8b,https://ollama.com/library/llama3%3A8b,llama3:8b latest 4.7GB · 8K context window · Text · 1 year ago,4.7,Text,False,1 year ago,llama3 Meta Llama 3: The most capable openly available LLM to date 8b 70b 23.6M Pulls 68 Tags Updated 1 year ago,https://ollama.com/library/llama3,8.0,Q4_0,2025-05-02,False,,8.0,,,True
gemma2,gemma2:27b,https://ollama.com/library/gemma2%3A27b,gemma2:27b 16GB · 8K context window · Text · 1 year ago,16.0,Text,False,1 year ago,"gemma2 Google Gemma 2 is a high-performing and efficient model available in three sizes: 2B, 9B, and 27B. 2b 9b 27b 22.1M Pulls 94 Tags Updated 1 year ago",https://ollama.com/library/gemma2,27.0,Q4_0,2025-05-02,False,,27.0,,,True
gemma2,gemma2:9b,https://ollama.com/library/gemma2%3A9b,gemma2:9b latest 5.4GB · 8K context window · Text · 1 year ago,5.4,Text,False,1 year ago,"gemma2 Google Gemma 2 is a high-performing and efficient model available in three sizes: 2B, 9B, and 27B. 2b 9b 27b 22.1M Pulls 94 Tags Updated 1 year ago",https://ollama.com/library/gemma2,9.0,Q4_0,2025-05-02,False,,9.0,,,True
phi3,phi3:14b,https://ollama.com/library/phi3%3A14b,phi3:14b 7.9GB · 128K context window · Text · 1 year ago,7.9,Text,False,1 year ago,phi3 Phi-3 is a family of lightweight 3B (Mini) and 14B (Medium) state-of-the-art open models by Microsoft. 3.8b 14b 17.4M Pulls 72 Tags Updated 1 year ago,https://ollama.com/library/phi3,14.0,Q4_0,2025-05-02,False,,14.0,,,True
gpt-oss,gpt-oss:120b,https://ollama.com/library/gpt-oss%3A120b,gpt-oss:120b 65GB · 128K context window · Text · 6 months ago,65.0,Text,False,6 months ago,"gpt-oss OpenAI’s open-weight models designed for powerful reasoning, agentic tasks, and versatile developer use cases. tools thinking cloud 20b 120b 9.3M Pulls 5 Tags Updated 6 months ago",https://ollama.com/library/gpt-oss,120.0,,2025-11-03,False,,120.0,,,True
gpt-oss,gpt-oss:20b,https://ollama.com/library/gpt-oss%3A20b,gpt-oss:20b latest 14GB · 128K context window · Text · 6 months ago,14.0,Text,False,6 months ago,"gpt-oss OpenAI’s open-weight models designed for powerful reasoning, agentic tasks, and versatile developer use cases. tools thinking cloud 20b 120b 9.3M Pulls 5 Tags Updated 6 months ago",https://ollama.com/library/gpt-oss,20.0,,2025-11-03,False,,20.0,,,True
qwen3.5,qwen3.5:27b,https://ollama.com/library/qwen3.5%3A27b,"qwen3.5:27b 17GB · 256K context window · Text, Image · 2 months ago",17.0,,False,2 months ago,qwen3.5 Qwen 3.5 is a family of open-source multimodal models that delivers exceptional utility and performance. vision tools thinking cloud 0.8b 2b 4b 9b 27b 35b 122b 7.9M Pulls 58 Tags Updated 1 month ago,https://ollama.com/library/qwen3.5,27.0,,2026-03-03,False,,27.0,,,True
qwen3.5,qwen3.5:35b,https://ollama.com/library/qwen3.5%3A35b,"qwen3.5:35b 24GB · 256K context window · Text, Image · 2 months ago",24.0,,False,2 months ago,qwen3.5 Qwen 3.5 is a family of open-source multimodal models that delivers exceptional utility and performance. vision tools thinking cloud 0.8b 2b 4b 9b 27b 35b 122b 7.9M Pulls 58 Tags Updated 1 month ago,https://ollama.com/library/qwen3.5,35.0,,2026-03-03,False,,35.0,,,True
qwen3.5,qwen3.5:9b,https://ollama.com/library/qwen3.5%3A9b,"qwen3.5:9b latest 6.6GB · 256K context window · Text, Image · 2 months ago",6.6,,False,2 months ago,qwen3.5 Qwen 3.5 is a family of open-source multimodal models that delivers exceptional utility and performance. vision tools thinking cloud 0.8b 2b 4b 9b 27b 35b 122b 7.9M Pulls 58 Tags Updated 1 month ago,https://ollama.com/library/qwen3.5,9.0,,2026-03-03,False,,9.0,,,True
phi4,phi4:14b,https://ollama.com/library/phi4%3A14b,phi4:14b latest 9.1GB · 16K context window · Text · 1 year ago,9.1,Text,False,1 year ago,"phi4 Phi-4 is a 14B parameter, state-of-the-art open model from Microsoft. 14b 7.5M Pulls 5 Tags Updated 1 year ago",https://ollama.com/library/phi4,14.0,,2025-05-02,False,,14.0,,,True
gemma,gemma:7b,https://ollama.com/library/gemma%3A7b,gemma:7b latest 5.0GB · 8K context window · Text · 2 years ago,5.0,Text,False,2 years ago,"gemma Gemma is a family of lightweight, state-of-the-art open models built by Google DeepMind. Updated to version 1.1 2b 7b 6.9M Pulls 102 Tags Updated 2 years ago",https://ollama.com/library/gemma,7.0,Q4_0,2024-05-02,False,,7.0,,,True
llama2,llama2:13b,https://ollama.com/library/llama2%3A13b,llama2:13b 7.4GB · 4K context window · Text · 2 years ago,7.4,Text,False,2 years ago,llama2 Llama 2 is a collection of foundation language models ranging from 7B to 70B parameters. 7b 13b 70b 6.8M Pulls 102 Tags Updated 2 years ago,https://ollama.com/library/llama2,13.0,Q4_0,2024-05-02,False,,13.0,,,True
llama2,llama2:70b,https://ollama.com/library/llama2%3A70b,llama2:70b 39GB · 4K context window · Text · 2 years ago,39.0,Text,False,2 years ago,llama2 Llama 2 is a collection of foundation language models ranging from 7B to 70B parameters. 7b 13b 70b 6.8M Pulls 102 Tags Updated 2 years ago,https://ollama.com/library/llama2,70.0,Q4_0,2024-05-02,False,,70.0,,,True
llama2,llama2:7b,https://ollama.com/library/llama2%3A7b,llama2:7b latest 3.8GB · 4K context window · Text · 2 years ago,3.8,Text,False,2 years ago,llama2 Llama 2 is a collection of foundation language models ranging from 7B to 70B parameters. 7b 13b 70b 6.8M Pulls 102 Tags Updated 2 years ago,https://ollama.com/library/llama2,7.0,Q4_0,2024-05-02,False,,7.0,,,True
qwen,qwen:110b,https://ollama.com/library/qwen%3A110b,qwen:110b 63GB · 32K context window · Text · 2 years ago,63.0,Text,False,2 years ago,qwen Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters 0.5b 1.8b 4b 7b 14b 32b 72b 110b 6.6M Pulls 379 Tags Updated 2 years ago,https://ollama.com/library/qwen,110.0,Q4_0,2024-05-02,False,,110.0,,,True
qwen,qwen:14b,https://ollama.com/library/qwen%3A14b,qwen:14b 8.2GB · 32K context window · Text · 2 years ago,8.2,Text,False,2 years ago,qwen Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters 0.5b 1.8b 4b 7b 14b 32b 72b 110b 6.6M Pulls 379 Tags Updated 2 years ago,https://ollama.com/library/qwen,14.0,Q4_0,2024-05-02,False,,14.0,,,True
qwen,qwen:32b,https://ollama.com/library/qwen%3A32b,qwen:32b 18GB · 32K context window · Text · 2 years ago,18.0,Text,False,2 years ago,qwen Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters 0.5b 1.8b 4b 7b 14b 32b 72b 110b 6.6M Pulls 379 Tags Updated 2 years ago,https://ollama.com/library/qwen,32.0,Q4_0,2024-05-02,False,,32.0,,,True
qwen,qwen:72b,https://ollama.com/library/qwen%3A72b,qwen:72b 41GB · 32K context window · Text · 2 years ago,41.0,Text,False,2 years ago,qwen Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters 0.5b 1.8b 4b 7b 14b 32b 72b 110b 6.6M Pulls 379 Tags Updated 2 years ago,https://ollama.com/library/qwen,72.0,Q4_0,2024-05-02,False,,72.0,,,True
qwen,qwen:7b,https://ollama.com/library/qwen%3A7b,qwen:7b 4.5GB · 32K context window · Text · 2 years ago,4.5,Text,False,2 years ago,qwen Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters 0.5b 1.8b 4b 7b 14b 32b 72b 110b 6.6M Pulls 379 Tags Updated 2 years ago,https://ollama.com/library/qwen,7.0,Q4_0,2024-05-02,False,,7.0,,,True
gemma4,gemma4:26b,https://ollama.com/library/gemma4%3A26b,"gemma4:26b 18GB · 256K context window · Text, Image · 1 month ago",18.0,,False,1 month ago,"gemma4 Gemma 4 models are designed to deliver frontier-level performance at each size. They are well-suited for reasoning, agentic workflows, coding, and multimodal understanding. vision tools thinking audio cloud e2b e4b 26b 31b 6.5M Pulls 29 Tags Updated 2 weeks ago",https://ollama.com/library/gemma4,26.0,,2026-04-02,False,,26.0,,,True
gemma4,gemma4:31b,https://ollama.com/library/gemma4%3A31b,"gemma4:31b 20GB · 256K context window · Text, Image · 1 month ago",20.0,,False,1 month ago,"gemma4 Gemma 4 models are designed to deliver frontier-level performance at each size. They are well-suited for reasoning, agentic workflows, coding, and multimodal understanding. vision tools thinking audio cloud e2b e4b 26b 31b 6.5M Pulls 29 Tags Updated 2 weeks ago",https://ollama.com/library/gemma4,31.0,,2026-04-02,False,,31.0,,,True
qwen2,qwen2:72b,https://ollama.com/library/qwen2%3A72b,qwen2:72b 41GB · 32K context window · Text · 1 year ago,41.0,Text,False,1 year ago,qwen2 Qwen2 is a new series of large language models from Alibaba group tools 0.5b 1.5b 7b 72b 5.8M Pulls 97 Tags Updated 1 year ago,https://ollama.com/library/qwen2,72.0,Q4_0,2025-05-02,False,,72.0,,,True
qwen2,qwen2:7b,https://ollama.com/library/qwen2%3A7b,qwen2:7b latest 4.4GB · 32K context window · Text · 1 year ago,4.4,Text,False,1 year ago,qwen2 Qwen2 is a new series of large language models from Alibaba group tools 0.5b 1.5b 7b 72b 5.8M Pulls 97 Tags Updated 1 year ago,https://ollama.com/library/qwen2,7.0,Q4_0,2025-05-02,False,,7.0,,,True
mistral-nemo,mistral-nemo:12b,https://ollama.com/library/mistral-nemo%3A12b,mistral-nemo:12b latest 7.1GB · 1000K context window · Text · 9 months ago,7.1,Text,False,9 months ago,"mistral-nemo A state-of-the-art 12B model with 128k context length, built by Mistral AI in collaboration with NVIDIA. tools 12b 4.3M Pulls 17 Tags Updated 9 months ago",https://ollama.com/library/mistral-nemo,12.0,Q4_0,2025-08-05,False,,12.0,,,True
llama3.3,llama3.3:70b,https://ollama.com/library/llama3.3%3A70b,llama3.3:70b latest 43GB · 128K context window · Text · 1 year ago,43.0,Text,False,1 year ago,llama3.3 New state of the art 70B model. Llama 3.3 70B offers similar performance compared to the Llama 3.1 405B model. tools 70b 3.8M Pulls 14 Tags Updated 1 year ago,https://ollama.com/library/llama3.3,70.0,,2025-05-02,False,,70.0,,,True
olmo2,olmo2:13b,https://ollama.com/library/olmo2%3A13b,olmo2:13b 8.4GB · 4K context window · Text · 1 year ago,8.4,Text,False,1 year ago,"olmo2 OLMo 2 is a new family of 7B and 13B models trained on up to 5T tokens. These models are on par with or better than equivalently sized fully open models, and competitive with open-weight models such as Llama 3.1 on English academic benchmarks. 7b 13b 3.7M Pulls 9 Tags Updated 1 year ago",https://ollama.com/library/olmo2,13.0,,2025-05-02,False,,13.0,,,True
olmo2,olmo2:7b,https://ollama.com/library/olmo2%3A7b,olmo2:7b latest 4.5GB · 4K context window · Text · 1 year ago,4.5,Text,False,1 year ago,"olmo2 OLMo 2 is a new family of 7B and 13B models trained on up to 5T tokens. These models are on par with or better than equivalently sized fully open models, and competitive with open-weight models such as Llama 3.1 on English academic benchmarks. 7b 13b 3.7M Pulls 9 Tags Updated 1 year ago",https://ollama.com/library/olmo2,7.0,,2025-05-02,False,,7.0,,,True
mistral-small,mistral-small:22b,https://ollama.com/library/mistral-small%3A22b,mistral-small:22b 13GB · 128K context window · Text · 1 year ago,13.0,Text,False,1 year ago,mistral-small Mistral Small 3 sets a new benchmark in the “small” Large Language Models category below 70B. tools 22b 24b 3M Pulls 21 Tags Updated 1 year ago,https://ollama.com/library/mistral-small,22.0,Q4_0,2025-05-02,False,,22.0,,,True
mistral-small,mistral-small:24b,https://ollama.com/library/mistral-small%3A24b,mistral-small:24b latest 14GB · 32K context window · Text · 1 year ago,14.0,Text,False,1 year ago,mistral-small Mistral Small 3 sets a new benchmark in the “small” Large Language Models category below 70B. tools 22b 24b 3M Pulls 21 Tags Updated 1 year ago,https://ollama.com/library/mistral-small,24.0,,2025-05-02,False,,24.0,,,True
granite3.1-moe,granite3.1-moe:1b,https://ollama.com/library/granite3.1-moe%3A1b,granite3.1-moe:1b 1.4GB · 128K context window · Text · 1 year ago,1.4,Text,False,1 year ago,granite3.1-moe The IBM Granite 1B and 3B models are long-context mixture of experts (MoE) Granite models from IBM designed for low latency usage. tools 1b 3b 2.9M Pulls 33 Tags Updated 1 year ago,https://ollama.com/library/granite3.1-moe,1.0,Q8_0,2025-05-02,True,,1.0,,,True
granite3.1-moe,granite3.1-moe:3b,https://ollama.com/library/granite3.1-moe%3A3b,granite3.1-moe:3b latest 2.0GB · 128K context window · Text · 1 year ago,2.0,Text,False,1 year ago,granite3.1-moe The IBM Granite 1B and 3B models are long-context mixture of experts (MoE) Granite models from IBM designed for low latency usage. tools 1b 3b 2.9M Pulls 33 Tags Updated 1 year ago,https://ollama.com/library/granite3.1-moe,3.0,,2025-05-02,True,,3.0,,,True
orca-mini,orca-mini:13b,https://ollama.com/library/orca-mini%3A13b,orca-mini:13b 7.4GB · 4K context window · Text · 2 years ago,7.4,Text,False,2 years ago,"orca-mini A general-purpose model ranging from 3 billion parameters to 70 billion, suitable for entry-level hardware. 3b 7b 13b 70b 2.8M Pulls 119 Tags Updated 2 years ago",https://ollama.com/library/orca-mini,13.0,Q4_0,2024-05-02,False,,13.0,,,True
orca-mini,orca-mini:70b,https://ollama.com/library/orca-mini%3A70b,orca-mini:70b 39GB · 4K context window · Text · 2 years ago,39.0,Text,False,2 years ago,"orca-mini A general-purpose model ranging from 3 billion parameters to 70 billion, suitable for entry-level hardware. 3b 7b 13b 70b 2.8M Pulls 119 Tags Updated 2 years ago",https://ollama.com/library/orca-mini,70.0,Q4_0,2024-05-02,False,,70.0,,,True
orca-mini,orca-mini:7b,https://ollama.com/library/orca-mini%3A7b,orca-mini:7b 3.8GB · 4K context window · Text · 2 years ago,3.8,Text,False,2 years ago,"orca-mini A general-purpose model ranging from 3 billion parameters to 70 billion, suitable for entry-level hardware. 3b 7b 13b 70b 2.8M Pulls 119 Tags Updated 2 years ago",https://ollama.com/library/orca-mini,7.0,Q4_0,2024-05-02,False,,7.0,,,True
mixtral,mixtral:8x22b,https://ollama.com/library/mixtral%3A8x22b,mixtral:8x22b 80GB · 64K context window · Text · 1 year ago,80.0,Text,False,1 year ago,mixtral A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes. tools 8x7b 8x22b 2.6M Pulls 70 Tags Updated 1 year ago,https://ollama.com/library/mixtral,176.0,Q4_0,2025-05-02,True,,176.0,,,True
mixtral,mixtral:8x7b,https://ollama.com/library/mixtral%3A8x7b,mixtral:8x7b latest 26GB · 32K context window · Text · 1 year ago,26.0,Text,False,1 year ago,mixtral A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes. tools 8x7b 8x22b 2.6M Pulls 70 Tags Updated 1 year ago,https://ollama.com/library/mixtral,56.0,Q4_0,2025-05-02,True,,56.0,,,True
falcon3,falcon3:10b,https://ollama.com/library/falcon3%3A10b,falcon3:10b 6.3GB · 32K context window · Text · 1 year ago,6.3,Text,False,1 year ago,"falcon3 A family of efficient AI models under 10B parameters performant in science, math, and coding through innovative training techniques. 1b 3b 7b 10b 2.5M Pulls 17 Tags Updated 1 year ago",https://ollama.com/library/falcon3,10.0,,2025-05-02,False,,10.0,,,True
falcon3,falcon3:7b,https://ollama.com/library/falcon3%3A7b,falcon3:7b latest 4.6GB · 32K context window · Text · 1 year ago,4.6,Text,False,1 year ago,"falcon3 A family of efficient AI models under 10B parameters performant in science, math, and coding through innovative training techniques. 1b 3b 7b 10b 2.5M Pulls 17 Tags Updated 1 year ago",https://ollama.com/library/falcon3,7.0,,2025-05-02,False,,7.0,,,True
qwq,qwq:32b,https://ollama.com/library/qwq%3A32b,qwq:32b latest 20GB · 40K context window · Text · 1 year ago,20.0,Text,False,1 year ago,qwq QwQ is the reasoning model of the Qwen series. tools 32b 2.2M Pulls 8 Tags Updated 1 year ago,https://ollama.com/library/qwq,32.0,,2025-05-02,False,,32.0,,,True
cogito,cogito:14b,https://ollama.com/library/cogito%3A14b,cogito:14b 9.0GB · 128K context window · Text · 1 year ago,9.0,Text,False,1 year ago,"cogito Cogito v1 Preview is a family of hybrid reasoning models by Deep Cogito that outperform the best available open models of the same size, including counterparts from LLaMA, DeepSeek, and Qwen across most standard benchmarks. tools 3b 8b 14b 32b 70b 2M Pulls 20 Tags Updated 1 year ago",https://ollama.com/library/cogito,14.0,,2025-05-02,False,,14.0,,,True
cogito,cogito:32b,https://ollama.com/library/cogito%3A32b,cogito:32b 20GB · 128K context window · Text · 1 year ago,20.0,Text,False,1 year ago,"cogito Cogito v1 Preview is a family of hybrid reasoning models by Deep Cogito that outperform the best available open models of the same size, including counterparts from LLaMA, DeepSeek, and Qwen across most standard benchmarks. tools 3b 8b 14b 32b 70b 2M Pulls 20 Tags Updated 1 year ago",https://ollama.com/library/cogito,32.0,,2025-05-02,False,,32.0,,,True
cogito,cogito:70b,https://ollama.com/library/cogito%3A70b,cogito:70b 43GB · 128K context window · Text · 1 year ago,43.0,Text,False,1 year ago,"cogito Cogito v1 Preview is a family of hybrid reasoning models by Deep Cogito that outperform the best available open models of the same size, including counterparts from LLaMA, DeepSeek, and Qwen across most standard benchmarks. tools 3b 8b 14b 32b 70b 2M Pulls 20 Tags Updated 1 year ago",https://ollama.com/library/cogito,70.0,,2025-05-02,False,,70.0,,,True
cogito,cogito:8b,https://ollama.com/library/cogito%3A8b,cogito:8b latest 4.9GB · 128K context window · Text · 1 year ago,4.9,Text,False,1 year ago,"cogito Cogito v1 Preview is a family of hybrid reasoning models by Deep Cogito that outperform the best available open models of the same size, including counterparts from LLaMA, DeepSeek, and Qwen across most standard benchmarks. tools 3b 8b 14b 32b 70b 2M Pulls 20 Tags Updated 1 year ago",https://ollama.com/library/cogito,8.0,,2025-05-02,False,,8.0,,,True
mistral-small3.2,mistral-small3.2:24b,https://ollama.com/library/mistral-small3.2%3A24b,"mistral-small3.2:24b latest 15GB · 128K context window · Text, Image · 10 months ago",15.0,,False,10 months ago,"mistral-small3.2 An update to Mistral Small that improves on function calling, instruction following, and less repetition errors. vision tools 24b 1.9M Pulls 5 Tags Updated 10 months ago",https://ollama.com/library/mistral-small3.2,24.0,,2025-07-06,False,,24.0,,,True
llama4,llama4:16x17b,https://ollama.com/library/llama4%3A16x17b,"llama4:16x17b latest 67GB · 10M context window · Text, Image · 10 months ago",67.0,,False,10 months ago,llama4 Meta's latest collection of multimodal models. vision tools 16x17b 128x17b 1.6M Pulls 11 Tags Updated 10 months ago,https://ollama.com/library/llama4,272.0,,2025-07-06,True,,272.0,,,True
