rank,group_a,group_b,decision,pipeline_cause,rationale
18,rel_00146,rel_00570,contaminated_not_mergeable,generic_object_bridge,"The groups contain generic formal assessment and risk-assessment members whose underlying hazards and stages are not recoverable from the normalized object."
19,rel_00300,rel_01344,contaminated_not_mergeable,generic_object_bridge,"Private maternity, admission, manual-dexterity, and other reassessment duties share only generic assessment language."
20,rel_00062,rel_00431,same_whole_group,medoid_or_merge_order,"Both groups concern obstructed driver or pedestrian sight lines caused by road geometry, foliage, fences, signs, or street furniture."
21,rel_00101,rel_01210,same_whole_group,counterparty_overconstraint,"Both groups concern inadequate inter-agency information sharing; agency-role normalization should not prevent consolidation."
22,rel_00508,rel_01055,same_whole_group,object_entity_overconstraint,"Both groups concern poor, unclear, inaccurate, or superficial communication with family members."
23,rel_00003,rel_00805,same_core_contaminated,object_entity_overconstraint,"Admission details, care plans, and advice fit the broad clinical-documentation core, but rel_00003 includes at least one failure to consult records rather than record them."
24,rel_00875,rel_01095,same_whole_group,object_entity_overconstraint,"Both groups concern failure to update risk assessments accurately and in response to changing information."
25,rel_00005,rel_00253,same_core_contaminated,failure_state_overconstraint,"The core is unavailable inpatient bed capacity, but rel_00253 also contains a low-bed equipment decision and a place-of-safety allocation decision."
26,rel_00179,rel_00368,same_whole_group,object_entity_overconstraint,"Both groups concern failure to update a risk assessment after relevant events or changed circumstances."
27,rel_00010,rel_00022,same_whole_group,counterparty_overconstraint,"Delayed dispatch, arrival, response, and missed response targets are the same ambulance-response obligation."
28,rel_00109,rel_00869,same_whole_group,object_entity_overconstraint,"Both groups concern failure to contact the patient; telephone, post-discharge, crisis, and information-gathering contexts are subtypes."
29,rel_00038,rel_00837,same_whole_group,direction_normalization_error,"Both groups concern missing warning signage for road users; the opposite-direction conflict is a normalization artefact."
30,rel_00049,rel_01008,same_whole_group,counterparty_overconstraint,"Reliance on self-report, fragmented oversight, or corridor care are mechanisms causing failure to recognise clinical deterioration."
31,rel_00239,rel_00683,same_core_contaminated,object_entity_overconstraint,"The psychiatric-referral cores are equivalent, but rel_00239 contains an unrelated urgent CT referral."
32,rel_00018,rel_01405,separate,context_similarity_without_shared_obligation,"Ambulance-service response delay is distinct from site, security, hospital-layout, or event-road-closure barriers delaying varied emergency responders."
33,rel_00039,rel_00228,related_but_distinct,action_stage_difference,"Calling an ambulance is related to but distinct from radio relay, site access, and assisting paramedics after the call."
34,rel_00054,rel_01105,same_core_contaminated,object_entity_overconstraint,"The core is unavailable community or social care delaying discharge, but rel_01105 includes an unrelated community catheter-staffing concern."
35,rel_00005,rel_00052,same_core_contaminated,object_entity_overconstraint,"Mental-health bed shortages are already present in the general inpatient-bed group, but rel_00052 contains non-bed support, access-route, and facility concerns."
36,rel_00149,rel_00825,related_but_distinct,object_subtype_difference,"Recording medication administration or instructions differs from documenting the rationale, risks, or benefits of medication decisions."
37,rel_00146,rel_01137,same_core_contaminated,generic_object_bridge,"Suicide-risk assessment members overlap, but rel_00146 also contains generic formal assessment and combined review/care-plan concerns."
38,rel_00005,rel_00574,related_but_distinct,object_subtype_difference,"Inpatient bed availability is related to but distinct from Emergency Department cubicle, space, and ambulance-access capacity."
39,rel_00059,rel_01450,related_but_distinct,object_subtype_difference,"General nursing care and coverage are broader than the specific failure to provide ordered one-to-one nursing care."
40,rel_00003,rel_01149,same_core_contaminated,object_entity_overconstraint,"Recording observations fits the clinical-documentation core, but rel_00003 contains at least one record-consultation outlier."
41,rel_00064,rel_01422,same_whole_group,counterparty_overconstraint,"Both groups concern absent, inadequate, undocumented, or informal handover; police and community-nursing contexts are report topics rather than different issue identities."
42,rel_00003,rel_01115,same_whole_group,medoid_or_merge_order,"Clinical observations and NEWS scores are recurring instances of failure to record clinical information."
43,rel_00637,rel_00993,same_whole_group,counterparty_overconstraint,"Both groups concern omitted referral to community mental-health services, commonly following discharge or release."
44,rel_00100,rel_00993,same_whole_group,counterparty_overconstraint,"Both groups concern failure to refer a patient to mental-health services."
45,rel_00042,rel_00061,same_whole_group,object_entity_overconstraint,"Both groups concern inadequate general record keeping and documentation standards."
46,rel_00393,rel_00524,same_whole_group,object_entity_overconstraint,"Failure to appreciate severity, investigate symptoms, or exclude causes reflects the same inadequate clinical-assessment obligation."
47,rel_00055,rel_00916,same_whole_group,medoid_or_merge_order,"Alerting a senior doctor about clinical change is a direct subtype of escalating the patient's condition to an appropriate clinician."
48,rel_00124,rel_00446,same_whole_group,object_entity_overconstraint,"Both groups concern inadequate direct monitoring of the patient's condition; weight, neurological, post-operative, corridor, and physical-presence checks are subtypes."
49,rel_00471,rel_00811,same_whole_group,object_entity_overconstraint,"Both groups concern failure to follow up blood testing, results, appointments, or abnormal findings."
50,rel_00015,rel_01443,same_whole_group,object_entity_overconstraint,"GP appointments, care-programme meetings, and other arranged contacts are post-discharge follow-up appointments."
