group_id,issue_id,report_url,report_date,issue_sentence,canonical_issue,issue_family,similarity_to_group_centroid,rank_in_group
3,iss_0016644,https://www.judiciary.uk/prevention-of-future-death-reports/janet-williams/,2017-09-11,The care co-ordinator failed to meet with the patient for several months following her discharge from the home treatment team.,Failure to conduct required follow-up meetings after patient discharge.,Care coordination failure,0.9216893315315247,2
3,iss_0015372,https://www.judiciary.uk/prevention-of-future-death-reports/stephen-whitehead/,2018-06-28,The hospital booking process failed to ensure the patient was recalled for follow-up treatment.,Failure to ensure patient follow-up for required treatment.,Clinical follow-up failure,0.9214728474617004,3
3,iss_0014962,https://www.judiciary.uk/prevention-of-future-death-reports/bradley-morgan/,2018-10-04,Urgent follow-up was not arranged despite an evident need following a clinical review.,Failure to arrange necessary follow-up after clinical review.,Clinical follow-up failure,0.9147499799728394,4
3,iss_0017016,https://www.judiciary.uk/prevention-of-future-death-reports/constance-connolly/,2017-06-22,The doctor who ordered the scan failed to conduct follow-up to ensure the investigation was performed.,Failure to perform follow-up on ordered diagnostic investigations.,Clinical follow-up failure,0.9124265909194946,5
3,iss_0020405,https://www.judiciary.uk/prevention-of-future-death-reports/olive-darbyshire-2/,2015-05-22,The clinical team failed to follow up on the missing CT pulmonary angiogram procedure.,Failure to follow up on a missing diagnostic procedure.,Clinical follow-up failure,0.911618173122406,6
3,iss_0005175,https://www.judiciary.uk/prevention-of-future-death-reports/sarah-adams-prevention-of-future-deaths-report/,2024-03-21,The mental health Trust failed to action the care plan following the October 2021 discharge.,Failure to implement a care plan following patient discharge.,Care delivery failure,0.910234808921814,7
3,iss_0002267,https://www.judiciary.uk/prevention-of-future-death-reports/samuel-brookes-prevention-of-future-deaths-report/,2025-04-15,The hospital failed to rearrange required care following the patient's discharge.,Failure to arrange required care following patient discharge.,Care transition failure,0.9083248376846313,8
3,iss_0002812,https://www.judiciary.uk/prevention-of-future-death-reports/cynthia-gilbert-prevention-of-future-deaths-report/,2025-01-24,Staff failed to adhere to the patient's repositioning care plan.,Failure to adhere to patient care plans.,Care plan non-compliance,0.9080982208251953,9
3,iss_0015540,https://www.judiciary.uk/prevention-of-future-death-reports/andrew-crane/,2018-05-22,The prison healthcare system failed to follow up and monitor high blood pressure and high blood sugar results.,Failure to monitor and follow up on abnormal clinical test results.,Clinical monitoring failure,0.9056841135025024,10
3,iss_0016673,https://www.judiciary.uk/prevention-of-future-death-reports/anne-marie-james/,2017-09-08,No formal referral or follow-up contact was made with community mental health services or the general practitioner following discharge.,Failure to arrange formal follow-up or referrals following patient discharge.,Inadequate discharge planning,0.9052475094795227,11
3,iss_0016939,https://www.judiciary.uk/prevention-of-future-death-reports/matthew-edwards/,2017-07-17,Referrals for required investigations were not made upon discharge.,Failure to arrange required investigations upon patient discharge.,Clinical follow-up failure,0.9018594026565552,12
4,iss_0018528,https://www.judiciary.uk/prevention-of-future-death-reports/margaret-gleeson/,2016-07-15,Staffing levels on weekends were insufficient to provide adequate patient care.,Insufficient staffing levels to ensure adequate patient care.,Staffing inadequacy,0.9548885822296143,1
4,iss_0011114,https://www.judiciary.uk/prevention-of-future-death-reports/elizabeth-robinson/,2021-03-12,Inadequate staffing levels prevented the delivery of a safe standard of care.,Insufficient staffing levels preventing safe delivery of care.,Staffing inadequacy,0.9486412405967712,2
4,iss_0022988,https://www.judiciary.uk/prevention-of-future-death-reports/barbara-white/,2014-01-13,Staffing levels on the Surgical Unit were insufficient.,Inadequate staffing levels within a clinical unit.,Staffing shortages,0.9446057081222534,3
4,iss_0020741,https://www.judiciary.uk/prevention-of-future-death-reports/elsie-hayward/,2015-03-19,Staffing levels were insufficient to maintain safe patient ratios.,Insufficient staffing levels to maintain safe patient ratios.,Staffing inadequacy,0.9417091012001038,4
4,iss_0006153,https://www.judiciary.uk/prevention-of-future-death-reports/raymond-eggleton-prevention-of-future-deaths-report/,2023-11-17,Staffing levels are insufficient to meet patient needs and ensure adequate safeguarding.,Inadequate staffing levels to meet patient needs and ensure safety.,Staffing inadequacy,0.9415355920791626,5
4,iss_0018028,https://www.judiciary.uk/prevention-of-future-death-reports/maurice-isaacs/,2016-11-07,Staffing levels on the ward were insufficient to manage patient demands.,Inadequate staffing levels to meet patient demand.,Staffing shortages,0.9412939548492432,6
4,iss_0021716,https://www.judiciary.uk/prevention-of-future-death-reports/iris-grimwood/,2014-08-26,Inadequate nursing staff numbers impacted the quality of care.,Insufficient nursing staff levels impacting quality of care.,Staffing shortages,0.9388613700866699,7
4,iss_0017794,https://www.judiciary.uk/prevention-of-future-death-reports/edwina-moses/,2016-12-22,Inadequate staffing levels compromised the ability of staff to safely care for patients.,Insufficient staffing levels compromise patient safety.,Staffing inadequacy,0.9348872900009155,8
4,iss_0006929,https://www.judiciary.uk/prevention-of-future-death-reports/marion-nickson-prevention-of-future-deaths-report/,2023-07-21,Inadequate staffing levels prevented the effective delivery of observable bay nursing.,Insufficient staffing levels prevented effective delivery of nursing care.,Staffing inadequacy,0.9342539310455322,9
4,iss_0019965,https://www.judiciary.uk/prevention-of-future-death-reports/frederick-sutton/,2015-08-27,Hospital staffing levels were insufficient during the patient's stay.,Inadequate staffing levels within a healthcare setting.,Staffing inadequacy,0.9325730800628662,10
4,iss_0022420,https://www.judiciary.uk/prevention-of-future-death-reports/sari-keen/,2014-04-16,Staffing levels were insufficient to manage the patient caseload.,Staffing levels were inadequate to manage the patient caseload.,Inadequate staffing,0.932431697845459,11
4,iss_0021637,https://www.judiciary.uk/prevention-of-future-death-reports/barbara-cooke/,2014-09-12,Staffing levels at the care home were inadequate to meet the needs of the residents.,Staffing levels were insufficient to meet resident needs.,Inadequate staffing,0.9319181442260742,12
5,iss_0017788,https://www.judiciary.uk/prevention-of-future-death-reports/thomas-wallace/,2016-12-22,Signage on the A682 regarding the junction is very limited.,Inadequate road signage at a junction.,Road infrastructure safety,0.9429317712783813,1
5,iss_0004145,https://www.judiciary.uk/prevention-of-future-death-reports/scott-punshon-prevention-of-future-deaths-report/,2024-07-29,Road signage was insufficient.,Inadequate road signage.,Infrastructure deficiency,0.9351290464401245,2
5,iss_0003598,https://www.judiciary.uk/prevention-of-future-death-reports/wilfred-fitchett-jevon-hirst-hugo-morris-and-harvey-owen-prevention-of-future-deaths-report/,2024-10-17,Existing road signage failed to provide adequate warning of the upcoming bend.,Inadequate road signage for upcoming bends.,Road infrastructure safety,0.9331268072128296,3
5,iss_0015925,https://www.judiciary.uk/prevention-of-future-death-reports/molly-mills/,2018-02-21,The junction lacks clear indications regarding right of way for turning vehicles.,Inadequate right of way signage at a junction.,Road signage deficiency,0.9274190664291382,4
5,iss_0022614,https://www.judiciary.uk/prevention-of-future-death-reports/daniel-taylor/,2014-03-17,The road layout and bend at the collision site may require additional warning signs or road markings.,Inadequate road signage or markings at a junction or bend.,Road infrastructure safety,0.9270824790000916,5
5,iss_0020312,https://www.judiciary.uk/prevention-of-future-death-reports/kian-gill/,2015-06-22,There is a lack of signage indicating the presence of the junction.,Inadequate signage indicating a junction.,Road safety signage,0.9267215728759766,6
5,iss_0021050,https://www.judiciary.uk/prevention-of-future-death-reports/hilary-moock/,2015-01-23,The junction lacks adequate lighting and clear signage for the farm entrance.,Inadequate lighting and signage at a junction entrance.,Infrastructure safety,0.9190008044242859,7
5,iss_0005822,https://www.judiciary.uk/prevention-of-future-death-reports/amal-ahmed-prevention-of-future-deaths-report/,2023-12-21,The No Entry signage at the Little Brickhill junction is inadequate.,Inadequate no entry signage at a junction.,Road signage deficiency,0.9160645008087158,8
5,iss_0004144,https://www.judiciary.uk/prevention-of-future-death-reports/scott-punshon-prevention-of-future-deaths-report/,2024-07-29,Road markings were inadequate.,Road markings are inadequate.,Infrastructure deficiency,0.9150187969207764,9
5,iss_0005625,https://www.judiciary.uk/prevention-of-future-death-reports/paul-frear-prevention-of-future-deaths-report/,2024-01-26,Pedestrian signage at the junction is insufficiently clear to ensure safety.,Inadequate pedestrian signage at a junction.,Road safety signage,0.9145964980125427,10
5,iss_0013917,https://www.judiciary.uk/prevention-of-future-death-reports/june-russell/,2019-04-17,Signage at and before the junction requires improvement.,Inadequate signage at and approaching the junction.,Road signage deficiency,0.9108705520629883,11
5,iss_0020142,https://www.judiciary.uk/prevention-of-future-death-reports/paul-coxon/,2015-07-20,Signage for safe crossing points is inadequate.,Inadequate signage for safe crossing points.,Safety signage deficiency,0.9106674194335938,12
6,iss_0022427,https://www.judiciary.uk/prevention-of-future-death-reports/kevin-scarlett/,2014-04-15,The prison service and healthcare failed to assess the risk of self-harm.,Failure to assess the risk of self-harm.,Risk assessment failure,0.9612795114517212,1
6,iss_0007894,https://www.judiciary.uk/prevention-of-future-death-reports/andrew-shirley-prevention-of-future-deaths-report/,2023-01-27,The prison healthcare team failed to properly assess and manage the risk of suicide and self-harm.,Failure to properly assess and manage suicide and self-harm risks.,Clinical risk management,0.9572510719299316,2
6,iss_0009655,https://www.judiciary.uk/prevention-of-future-death-reports/jan-goodliffe-prevention-of-future-deaths-report/,2022-01-14,Clinicians failed to adequately assess suicide risk despite being informed of a recent self-harm attempt.,Failure to adequately assess suicide risk following known self-harm attempt.,Clinical assessment failure,0.9550732374191284,3
6,iss_0012241,https://www.judiciary.uk/prevention-of-future-death-reports/rebecca-hursey/,2020-03-09,Existing observations and searches failed to mitigate the risk of self-harm and suicide.,Failure to mitigate risks of self-harm and suicide.,Safety mitigation failure,0.9548814296722412,4
6,iss_0021767,https://www.judiciary.uk/prevention-of-future-death-reports/noleen-mcpharlane/,2014-08-07,The clinical specialist failed to directly assess the patient for suicidal ideation despite a history of self-harm.,Failure to assess for suicidal ideation despite known risk of self-harm.,Clinical assessment failure,0.9479085206985474,5
6,iss_0014015,https://www.judiciary.uk/prevention-of-future-death-reports/stuart-clark/,2019-04-03,No assessment was conducted to determine the patient's risk of self-harm or suicide following his disclosure.,Failure to assess risk of self-harm or suicide following disclosure.,Clinical assessment failure,0.9454820156097412,6
6,iss_0013003,https://www.judiciary.uk/prevention-of-future-death-reports/lauren-finch/,2019-10-21,Suicide and self-harm risks were not properly assessed.,Inadequate assessment of suicide and self-harm risks.,Risk assessment failure,0.9447553157806396,7
6,iss_0011649,https://www.judiciary.uk/prevention-of-future-death-reports/imane-bouasbia/,2020-11-12,Officer 2 failed to complete a risk assessment regarding self-harm or suicide.,Failure to complete a risk assessment for self-harm or suicide.,Incomplete risk assessment,0.9387526512145996,8
6,iss_0005404,https://www.judiciary.uk/prevention-of-future-death-reports/jamie-pilkington-prevention-of-future-deaths-report/,2024-02-22,Suicidal and self-harm thoughts were not explored in sufficient detail during clinical assessments.,Inadequate assessment of suicidal ideation and self-harm risks.,Clinical assessment failure,0.9370049238204956,9
6,iss_0005815,https://www.judiciary.uk/prevention-of-future-death-reports/wyndham-thomas-prevention-of-future-deaths-report/,2023-12-21,No meaningful risk assessment was carried out to implement measures for reducing self-harm risk.,Failure to conduct adequate risk assessments for mitigating self-harm.,Risk management failure,0.9368963241577148,10
6,iss_0007281,https://www.judiciary.uk/prevention-of-future-death-reports/brenda-shield-prevention-of-future-deaths-report/,2023-06-07,The patient's risk assessment failed to identify the risk of self-harm.,Failure to identify self-harm risk during patient risk assessment.,Risk assessment failure,0.9355531334877014,11
6,iss_0009165,https://www.judiciary.uk/prevention-of-future-death-reports/laura-medcalf-prevention-of-future-deaths-report/,2022-04-28,Staff failed to explore or assess the increased risk following the patient's disclosure of bad thoughts.,Failure to assess increased risk following disclosure of self-harm ideation.,Risk assessment failure,0.9333280920982361,12
7,iss_0017123,https://www.judiciary.uk/prevention-of-future-death-reports/daphne-williams/,2017-05-25,There is a lack of available ambulances to respond to emergency calls.,Insufficient ambulance availability for emergency response.,Resource shortage,0.954651951789856,1
7,iss_0006961,https://www.judiciary.uk/prevention-of-future-death-reports/bernhard-marek-prevention-of-future-deaths-report/,2023-07-19,Significant delays in ambulance response times due to high demand and insufficient resources.,Ambulance response delays caused by high demand and insufficient resources.,Emergency service delays,0.9537377953529358,2
7,iss_0002665,https://www.judiciary.uk/prevention-of-future-death-reports/diana-fairweather-purkis-prevention-of-future-deaths-report/,2025-02-17,There is insufficient ambulance resource to enable timely attendance in accordance with target response times.,Insufficient ambulance resources to meet target response times.,Resource inadequacy,0.9496546983718872,3
7,iss_0008502,https://www.judiciary.uk/prevention-of-future-death-reports/irene-davies-prevention-of-future-deaths-report/,2022-09-14,Insufficient ambulance availability leading to response times exceeding target thresholds.,Inadequate ambulance availability causing delayed emergency response times.,Emergency service delays,0.9491507411003113,4
7,iss_0002760,https://www.judiciary.uk/prevention-of-future-death-reports/nicola-owens-prevention-of-future-deaths-report/,2025-01-31,Ambulance response delays were caused by the unavailability of vehicles.,Ambulance response delays due to vehicle unavailability.,Resource unavailability,0.9415404796600342,5
7,iss_0000285,https://www.judiciary.uk/prevention-of-future-death-reports/angela-darlow-prevention-of-future-deaths-report/,2026-02-05,The delay in emergency ambulance response times is excessive.,Emergency ambulance response times are excessively delayed.,Emergency service delays,0.9414676427841187,6
7,iss_0008257,https://www.judiciary.uk/prevention-of-future-death-reports/ellen-macfarlane-prevention-of-future-deaths-report/,2022-11-04,Ambulance response delays were caused by staffing shortages and high demand on the North West Ambulance Service.,Ambulance response delays caused by staffing shortages and high service demand.,Emergency service delays,0.9409274458885193,7
7,iss_0022210,https://www.judiciary.uk/prevention-of-future-death-reports/liam-coleman/,2014-05-25,There were insufficient ambulances available to cover Red 1 and Red 2 calls during the early hours of 3 October 2012.,Insufficient ambulance availability to meet emergency call demands.,Resource shortage,0.9403203129768372,8
7,iss_0006659,https://www.judiciary.uk/prevention-of-future-death-reports/geoffery-hoad-prevention-of-future-deaths-report/,2023-09-13,Significant delays occurred in the ambulance service attending to emergency calls due to high demand and system pressure.,Ambulance response delays caused by high demand and system pressure.,Emergency service delays,0.9384455680847168,9
7,iss_0003805,https://www.judiciary.uk/prevention-of-future-death-reports/susan-dear-prevention-of-future-deaths-report/,2024-09-20,"Ambulance availability was insufficient to meet patient demand, resulting in response times far exceeding national standards.",Insufficient ambulance availability causing response times to exceed national standards.,Resource inadequacy,0.9377472400665283,10
7,iss_0015019,https://www.judiciary.uk/prevention-of-future-death-reports/andrew-collins/,2018-10-02,A lack of ambulance resources caused a significant delay in attending to a critically unwell patient.,Insufficient ambulance resources causing delays in patient care.,Resource inadequacy,0.9376933574676514,11
7,iss_0014348,https://www.judiciary.uk/prevention-of-future-death-reports/madeline-staples/,2019-02-11,A lack of available ambulance resources prevents timely responses to emergency calls.,Insufficient ambulance resources prevent timely emergency responses.,Resource shortage,0.9376857280731201,12
8,iss_0017797,https://www.judiciary.uk/prevention-of-future-death-reports/georgina-lewis/,2016-12-22,The patient's GP was not notified of the discharge or the preceding assessment.,Failure to notify the general practitioner of patient discharge or assessment.,Communication failure,0.9499374628067017,1
8,iss_0001985,https://www.judiciary.uk/prevention-of-future-death-reports/julie-beasley-prevention-of-future-deaths-report/,2025-05-28,The mental health Trust failed to communicate discharge actions to the GP.,Failure to communicate patient discharge information to the general practitioner.,Communication failure,0.9464974403381348,2
8,iss_0018854,https://www.judiciary.uk/prevention-of-future-death-reports/patrick-mcgagh/,2016-04-28,The hospital failed to provide a discharge summary to the GP.,Failure to provide a discharge summary to the general practitioner.,Information handover failure,0.9364919662475586,3
8,iss_0021777,https://www.judiciary.uk/prevention-of-future-death-reports/martin-hill/,2014-08-06,The discharge summary was not sent to the patient's GP.,Discharge summary not communicated to the general practitioner.,Information transfer failure,0.9343221187591553,4
8,iss_0011158,https://www.judiciary.uk/prevention-of-future-death-reports/helen-mclean/,2021-03-03,The discharge summary was not received by the patient's GP practice.,Discharge summary not communicated to the general practitioner.,Information transfer failure,0.9343221187591553,5
8,iss_0017090,https://www.judiciary.uk/prevention-of-future-death-reports/derrick-brocklehurst/,2017-06-05,Tameside General Hospital failed to provide a discharge summary to the GP following the A&E attendance.,Failure to provide a discharge summary to a general practitioner.,Information sharing failure,0.9334626197814941,6
8,iss_0011300,https://www.judiciary.uk/prevention-of-future-death-reports/monica-mccormick/,2021-02-03,The hospital failed to notify the patient's general practitioner of the diagnosis upon discharge.,Failure to notify the general practitioner of a patient's diagnosis upon discharge.,Communication failure,0.9333024024963379,7
8,iss_0007278,https://www.judiciary.uk/prevention-of-future-death-reports/brenda-shield-prevention-of-future-deaths-report/,2023-06-07,The GP was not notified of the patient's hospital admission or discharge.,Failure to notify the GP of patient hospital admission or discharge.,Communication failure,0.9274910688400269,8
8,iss_0017846,https://www.judiciary.uk/prevention-of-future-death-reports/francis-lea/,2016-12-15,The new GP was not notified of the hospital admission or the requirement for anti-epileptic medication.,Failure to notify a general practitioner of hospital admission and medication requirements.,Communication failure,0.9262373447418213,9
8,iss_0016650,https://www.judiciary.uk/prevention-of-future-death-reports/john-griffiths/,2017-09-11,A discharge summary was not completed or forwarded to the GP following hospital discharge.,Failure to complete or forward discharge summaries to general practitioners.,Clinical communication failure,0.9233630299568176,10
8,iss_0018305,https://www.judiciary.uk/prevention-of-future-death-reports/john-jones-2/,2016-09-05,The GP was not notified of the patient's discharge from the Crisis Team for approximately one week.,Failure to notify the GP of a patient's discharge from specialist care.,Communication failure,0.919407844543457,11
8,iss_0023513,https://www.judiciary.uk/prevention-of-future-death-reports/anderson-2013-0227/,2013-09-09,Practitioners failed to inform the GP of the patient's hospital admissions.,Failure to notify general practitioner of patient hospital admissions.,Communication failure,0.918644905090332,12
9,iss_0022734,https://www.judiciary.uk/prevention-of-future-death-reports/herta-woods/,2014-02-26,The National Early Warning Score (NEWS) protocol was not adhered to.,Failure to adhere to the National Early Warning Score protocol.,Protocol non-compliance,0.9600744843482971,1
9,iss_0003511,https://www.judiciary.uk/prevention-of-future-death-reports/kashim-ali-prevention-of-future-deaths-report/,2024-10-28,National Early Warning Score (NEWS2) alerts were not escalated to the nurse in charge.,Failure to escalate National Early Warning Score alerts to the nurse in charge.,Clinical escalation failure,0.9537957906723022,2
9,iss_0018363,https://www.judiciary.uk/prevention-of-future-death-reports/diana-ritchie/,2016-08-18,There has been a repeated failure within the trust to use the NEWS tool properly.,Repeated failure to correctly utilise the National Early Warning Score tool.,Clinical monitoring failure,0.9521270990371704,3
9,iss_0014370,https://www.judiciary.uk/prevention-of-future-death-reports/gwyneth-edwards/,2019-02-05,Staff failed to action NEWS scoring in accordance with the established protocol.,Failure to follow established National Early Warning Score protocols.,Clinical protocol non-compliance,0.95100998878479,4
9,iss_0020485,https://www.judiciary.uk/prevention-of-future-death-reports/jayne-jowett/,2015-05-01,Guidelines for responding to rising National Early Warning Scores were not followed.,Failure to follow clinical escalation guidelines for rising National Early Warning Scores.,Clinical escalation failure,0.9502335786819458,5
